Date,AAPL,AMZN,BRK-B,GOOGL,JPM,META,MSFT,NVDA,TSLA
2021-03-23,119.58091735839844,156.875,248.30999755859375,101.36735534667969,132.85494995117188,288.84930419921875,228.92015075683594,13.039318084716797,220.72000122070312
2021-03-24,117.19007110595703,154.35350036621094,249.6300048828125,100.93037414550781,133.88607788085938,280.411376953125,226.87744140625,12.612598419189453,210.08999633789062
2021-03-25,117.67799377441406,152.31300354003906,250.75,100.92689514160156,135.60165405273438,277.0321350097656,223.8711700439453,12.505107879638672,213.4633331298828
2021-03-26,118.28300476074219,152.60150146484375,256.7699890136719,100.54305267333984,137.85948181152344,281.2859191894531,227.86026000976562,12.808377265930176,206.23666381835938
2021-03-29,118.45868682861328,153.7864990234375,258.82000732421875,101.58882904052734,135.71719360351562,289.0381774902344,226.66546630859375,12.917115211486816,203.76333618164062
2021-03-30,117.004638671875,152.76449584960938,258.19000244140625,101.62259674072266,137.3171844482422,286.2353820800781,223.3990020751953,12.840800285339355,211.8733367919922
2021-03-31,119.20032501220703,154.70399475097656,255.47000122070312,102.41960144042969,135.31719970703125,292.7254638671875,227.17613220214844,13.31615161895752,222.64332580566406
2021-04-01,120.02979278564453,158.0500030517578,258.20001220703125,105.75956726074219,136.6327667236328,296.83013916015625,233.51625061035156,13.77853775024414,220.5833282470703
2021-04-05,122.85977172851562,161.3365020751953,262.6600036621094,110.18801879882812,137.35699462890625,307.017333984375,239.99136352539062,13.953865051269531,230.35000610351562
2021-04-06,123.16228485107422,161.1909942626953,263.05999755859375,109.70632934570312,136.391357421875,304.3835144042969,238.8254852294922,13.828171730041504,230.5399932861328
2021-04-07,124.81147003173828,163.96949768066406,263.6199951171875,111.18465423583984,138.52830505371094,311.1717224121094,240.79112243652344,14.109492301940918,223.6566619873047
2021-04-08,127.21207427978516,164.96499633789062,263.510009765625,111.75074005126953,138.6982421875,311.1021423339844,244.01901245117188,14.282574653625488,227.93333435058594
2021-04-09,129.78831481933594,168.61000061035156,266.010009765625,112.75581359863281,139.7354278564453,310.5455627441406,246.5242156982422,14.365374565124512,225.67333984375
2021-04-12,128.0708465576172,168.96949768066406,267.92999267578125,111.46224212646484,139.44036865234375,309.6311950683594,246.58204650878906,15.172429084777832,233.9933319091797
2021-04-13,131.18377685546875,170.0,267.1000061035156,111.94937133789062,137.7772674560547,307.86212158203125,249.0679473876953,15.64179801940918,254.10667419433594
2021-04-14,128.84176635742188,166.64999389648438,267.5299987792969,111.3276596069336,135.20211791992188,300.9647216796875,246.27366638183594,15.240263938903809,244.07666015625
2021-04-15,131.25210571289062,168.95449829101562,269.1400146484375,113.47981262207031,136.06051635742188,305.9339904785156,250.0411376953125,16.098447799682617,246.28334045410156
2021-04-16,130.9202880859375,169.9720001220703,272.1099853515625,113.35567474365234,137.07089233398438,304.3040466308594,251.2359161376953,15.874238014221191,246.5933380126953
2021-04-19,131.58389282226562,168.60049438476562,270.2799987792969,113.70377349853516,136.48968505859375,300.38818359375,249.30882263183594,15.324811935424805,238.2100067138672
2021-04-20,129.89566040039062,166.7344970703125,267.8900146484375,113.16996002197266,133.467529296875,300.795654296875,248.84640502929688,15.134770393371582,239.663330078125
2021-04-21,130.2762451171875,168.1009979248047,272.2099914550781,113.13719177246094,134.60305786132812,299.6229248046875,251.08180236816406,15.323565483093262,248.0399932861328
2021-04-22,128.75392150878906,165.45199584960938,269.510009765625,111.85453033447266,131.76864624023438,294.7032470703125,247.796142578125,14.814543724060059,239.89666748046875
2021-04-23,131.07647705078125,167.04400634765625,271.9800109863281,114.20879364013672,134.29014587402344,299.2850036621094,251.6310577392578,15.228544235229492,243.13333129882812
2021-04-26,131.46681213378906,170.4499969482422,270.8599853515625,114.70536804199219,134.62094116210938,301.1833190917969,252.01644897460938,15.440781593322754,246.06666564941406
2021-04-27,131.1447296142578,170.8715057373047,273.6499938964844,113.76435852050781,135.23793029785156,301.7100524902344,252.421142578125,15.344762802124023,234.913330078125
2021-04-28,130.3543243408203,172.9250030517578,272.95001220703125,117.14404296875,136.11419677734375,305.2184143066406,245.28126525878906,15.240013122558594,231.46665954589844
2021-04-29,130.25669860839844,173.5655059814453,277.6000061035156,118.81848907470703,138.7608184814453,327.4910583496094,243.30596923828125,15.287900924682617,225.6666717529297
